,Unnamed: 0,Topic,Traffic participation,Traffic participation.1,Traffic participation.2,Use of public transport,Use of public transport.1,Use of public transport.2
0,,Sex,Total male and female,Male,Female,Total male and female,Male,Female
1,Personal characteristics,Periods,%,%,%,%,%,%
2,Total persons,2018,82.9,83.0,82.9,8.6,8.0,9.2
3,Total persons,2019,81.9,82.6,81.3,8.6,7.9,9.2
4,Total persons,2020,73.8,74.4,73.2,3.9,3.6,4.2
5,Total persons,2021,78.1,77.9,78.4,4.2,3.8,4.7
6,Total persons,2022,79.7,79.8,79.7,6.1,5.6,6.5
7,Age: 6 to 11 years,2018,90.6,90.9,90.1,2.1,2.3,.
8,Age: 6 to 11 years,2019,88.9,89.6,88.3,1.6,.,.
9,Age: 6 to 11 years,2020,80.0,79.8,80.2,.,.,.
10,Age: 6 to 11 years,2021,85.6,84.7,86.6,.,.,.
11,Age: 6 to 11 years,2022,85.2,85.0,85.4,1.6,.,.
12,Age: 12 to 17 years,2018,86.3,85.7,86.9,11.7,10.1,13.3
13,Age: 12 to 17 years,2019,86.4,86.3,86.4,10.7,9.3,12.2
14,Age: 12 to 17 years,2020,73.5,72.1,75.0,6.3,6.2,6.4
15,Age: 12 to 17 years,2021,79.0,77.7,80.3,6.3,5.4,7.1
16,Age: 12 to 17 years,2022,82.9,82.5,83.3,9.2,7.6,11.0
17,Age: 18 to 24 years,2018,86.8,85.6,87.9,23.8,21.1,26.6
18,Age: 18 to 24 years,2019,84.6,83.4,85.8,24.0,20.7,27.4
19,Age: 18 to 24 years,2020,74.6,73.3,75.9,11.9,9.3,14.5
20,Age: 18 to 24 years,2021,78.3,75.6,81.0,14.5,11.9,17.2
21,Age: 18 to 24 years,2022,81.2,79.5,82.9,18.4,16.4,20.4
22,Age: 25 to 34 years,2018,88.6,87.6,89.7,13.4,12.6,14.2
23,Age: 25 to 34 years,2019,86.6,86.7,86.5,13.4,13.8,13.0
24,Age: 25 to 34 years,2020,77.2,76.6,77.9,6.0,5.8,6.1
25,Age: 25 to 34 years,2021,80.3,79.1,81.6,6.5,6.0,7.0
26,Age: 25 to 34 years,2022,81.3,80.2,82.6,9.6,9.0,10.2
27,Age: 35 to 49 years,2018,86.7,86.6,86.8,7.1,6.7,7.6
28,Age: 35 to 49 years,2019,86.7,87.1,86.4,7.5,7.3,7.7
29,Age: 35 to 49 years,2020,78.7,79.0,78.5,3.2,3.2,3.2
30,Age: 35 to 49 years,2021,81.2,80.0,82.4,3.2,3.2,3.2
31,Age: 35 to 49 years,2022,82.7,81.9,83.5,4.8,4.7,4.9
32,Age: 50 to 64 years,2018,83.5,83.0,84.0,6.0,5.9,6.2
33,Age: 50 to 64 years,2019,82.9,82.5,83.2,6.0,5.1,6.9
34,Age: 50 to 64 years,2020,76.8,76.8,76.8,2.5,2.4,2.5
35,Age: 50 to 64 years,2021,80.7,80.3,81.1,2.4,2.3,2.6
36,Age: 50 to 64 years,2022,81.6,81.4,81.8,3.8,3.5,4.1
37,Age: 65 to 74 years,2018,74.9,74.4,75.4,4.2,3.4,5.0
38,Age: 65 to 74 years,2019,73.5,74.5,72.4,4.2,2.9,5.4
39,Age: 65 to 74 years,2020,67.8,69.7,66.0,1.6,.,2.2
40,Age: 65 to 74 years,2021,74.3,75.1,73.5,1.8,1.6,2.0
41,Age: 65 to 74 years,2022,76.7,77.6,75.7,2.2,1.9,2.5
42,Age: 75 years or older,2018,59.8,63.1,57.3,3.2,3.3,3.2
43,Age: 75 years or older,2019,59.4,63.9,56.0,2.9,3.1,2.8
44,Age: 75 years or older,2020,51.6,56.4,47.7,1.1,.,.
45,Age: 75 years or older,2021,59.7,64.6,55.9,1.2,.,1.5
46,Age: 75 years or older,2022,62.6,67.0,59.1,1.8,1.4,2.1
47,Equivalised income: 1st 20%-group,2018,77.1,78.1,76.3,12.5,11.4,13.4
